!Agilent Technologies,E4990A,MY54100421,A.02.10
!Date: Thu Nov 09 14:43:58 2023

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.50000000000e+005, +2.19213577801e-005, +1.43326256350e+000
+1.55263157895e+005, +2.19079383281e-005, +1.48074796951e+000
+1.60526315789e+005, +2.18945160016e-005, +1.52964641002e+000
+1.65789473684e+005, +2.18802785172e-005, +1.57972831828e+000
+1.71052631579e+005, +2.18684361589e-005, +1.63085212858e+000
+1.76315789474e+005, +2.18557253463e-005, +1.68289414443e+000
+1.81578947368e+005, +2.18431105506e-005, +1.73534898872e+000
+1.86842105263e+005, +2.18314443597e-005, +1.78907115101e+000
+1.92105263158e+005, +2.18188737991e-005, +1.84488262801e+000
+1.97368421053e+005, +2.18071568343e-005, +1.90080291666e+000
+2.02631578947e+005, +2.17956215707e-005, +1.95814676377e+000
+2.07894736842e+005, +2.17836083310e-005, +2.01539008580e+000
+2.13157894737e+005, +2.17724668285e-005, +2.07620325897e+000
+2.18421052632e+005, +2.17611059228e-005, +2.13631842016e+000
+2.23684210526e+005, +2.17500244734e-005, +2.19790165628e+000
+2.28947368421e+005, +2.17394120138e-005, +2.25946453870e+000
+2.34210526316e+005, +2.17279464141e-005, +2.32384489666e+000
+2.39473684211e+005, +2.17172270871e-005, +2.38799264095e+000
+2.44736842105e+005, +2.17060824319e-005, +2.45399356612e+000
+2.50000000000e+005, +2.16950588991e-005, +2.52077906663e+000
+3.00000000000e+005, +2.15944464726e-005, +3.19968739729e+000
+3.97979797980e+005, +2.13970129691e-005, +4.75679813397e+000
+4.95959595960e+005, +2.12012195876e-005, +6.55660384225e+000
+5.93939393939e+005, +2.10029987618e-005, +8.54028337175e+000
+6.91919191919e+005, +2.08095908451e-005, +1.06334936551e+001
+7.89898989899e+005, +2.06268145970e-005, +1.27822670012e+001
+8.87878787879e+005, +2.04590691312e-005, +1.49484467510e+001
+9.85858585859e+005, +2.03107212600e-005, +1.71001577657e+001
+1.08383838384e+006, +2.01833305474e-005, +1.92269284626e+001
+1.18181818182e+006, +2.00780741210e-005, +2.13201044144e+001
+1.27979797980e+006, +1.99956073171e-005, +2.33814099246e+001
+1.37777777778e+006, +1.99353283629e-005, +2.54167592253e+001
+1.47575757576e+006, +1.98988906978e-005, +2.73951371509e+001
+1.57373737374e+006, +1.98789664166e-005, +2.93998040464e+001
+1.67171717172e+006, +1.98827163077e-005, +3.13855548006e+001
+1.76969696970e+006, +1.99068216678e-005, +3.33789646587e+001
+1.86767676768e+006, +1.99479270004e-005, +3.53988966180e+001
+1.96565656566e+006, +2.00101583052e-005, +3.74459088584e+001
+2.06363636364e+006, +2.00893392849e-005, +3.95322882861e+001
+2.16161616162e+006, +2.01883583174e-005, +4.16932582293e+001
+2.25959595960e+006, +2.03034752353e-005, +4.39002537502e+001
+2.35757575758e+006, +2.04402497033e-005, +4.62006176706e+001
+2.45555555556e+006, +2.05918324506e-005, +4.85751314918e+001
+2.55353535354e+006, +2.07642231470e-005, +5.10466224928e+001
+2.65151515152e+006, +2.09509137548e-005, +5.37357610802e+001
+2.74949494949e+006, +2.11624282114e-005, +5.64605433392e+001
+2.84747474747e+006, +2.13878797466e-005, +5.93925693720e+001
+2.94545454545e+006, +2.16396988600e-005, +6.24493211353e+001
+3.04343434343e+006, +2.19112329996e-005, +6.57866991238e+001
+3.14141414141e+006, +2.22031287625e-005, +6.93135394188e+001
+3.23939393939e+006, +2.25232551969e-005, +7.31987674174e+001
+3.33737373737e+006, +2.28679114199e-005, +7.71916051371e+001
+3.43535353535e+006, +2.32344487863e-005, +8.16999015223e+001
+3.53333333333e+006, +2.36318355450e-005, +8.63745881656e+001
+3.63131313131e+006, +2.40574682306e-005, +9.15998407166e+001
+3.72929292929e+006, +2.45200595525e-005, +9.71473897074e+001
+3.82727272727e+006, +2.50144992702e-005, +1.03215339818e+002
+3.92525252525e+006, +2.55471253484e-005, +1.09940538960e+002
+4.02323232323e+006, +2.61168035378e-005, +1.17363113078e+002
+4.12121212121e+006, +2.67377224375e-005, +1.25339984047e+002
+4.21919191919e+006, +2.74072726345e-005, +1.34605687750e+002
+4.31717171717e+006, +2.81267665422e-005, +1.44614330256e+002
+4.41515151515e+006, +2.89084627572e-005, +1.55747717625e+002
+4.51313131313e+006, +2.97588045999e-005, +1.68287876365e+002
+4.61111111111e+006, +3.06719338919e-005, +1.82298710420e+002
+4.70909090909e+006, +3.16755611098e-005, +1.98412578150e+002
+4.80707070707e+006, +3.27697918762e-005, +2.16429427960e+002
+4.90505050505e+006, +3.39711569321e-005, +2.37241690270e+002
+5.00303030303e+006, +3.52821337026e-005, +2.60735292930e+002
+5.10101010101e+006, +3.67321290003e-005, +2.88537534054e+002
+5.19898989899e+006, +3.83217390462e-005, +3.20891223920e+002
+5.29696969697e+006, +4.00421433021e-005, +3.57034607000e+002
+5.39494949495e+006, +4.20159385115e-005, +4.02080934964e+002
+5.49292929293e+006, +4.42018830349e-005, +4.55150533367e+002
+5.59090909091e+006, +4.66507666411e-005, +5.20853440038e+002
+5.68888888889e+006, +4.94083820999e-005, +6.00548053355e+002
+5.78686868687e+006, +5.25162965512e-005, +6.99985517874e+002
+5.88484848485e+006, +5.60356847031e-005, +8.25251488168e+002
+5.98282828283e+006, +5.99637458734e-005, +9.84750739773e+002
+6.08080808081e+006, +6.43791253350e-005, +1.19406785809e+003
+6.17878787879e+006, +6.91812630455e-005, +1.47205992427e+003
+6.27676767677e+006, +7.43235783474e-005, +1.84804911988e+003
+6.37474747475e+006, +7.90800981809e-005, +2.36436532532e+003
+6.47272727273e+006, +8.23420079973e-005, +3.07222823748e+003
+6.57070707071e+006, +8.15269764200e-005, +4.03548861091e+003
+6.66868686869e+006, +7.15171025110e-005, +5.24088802017e+003
+6.76666666667e+006, +4.64720964948e-005, +6.46557045883e+003
+6.86464646465e+006, +5.55069387166e-006, +7.18029715077e+003
+6.96262626263e+006, -3.83033189569e-005, +6.89486013880e+003
+7.06060606061e+006, -6.87866142150e-005, +5.81264288216e+003
+7.15858585859e+006, -8.18740378824e-005, +4.53271879244e+003
+7.25656565657e+006, -8.32665192754e-005, +3.43673473136e+003
+7.35454545455e+006, -7.92089576320e-005, +2.61685575094e+003
+7.45252525253e+006, -7.32956314653e-005, +2.01684090077e+003
+7.55050505051e+006, -6.70445149043e-005, +1.58242585578e+003
+7.64848484848e+006, -6.11611803523e-005, +1.26743357635e+003
+7.74646464646e+006, -5.58818869847e-005, +1.03099390333e+003
+7.84444444444e+006, -5.11641834027e-005, +8.54126669497e+002
+7.94242424242e+006, -4.70495092099e-005, +7.15550157358e+002
+8.04040404040e+006, -4.34225739012e-005, +6.07598222818e+002
+8.13838383838e+006, -4.02466148312e-005, +5.21800013864e+002
+8.23636363636e+006, -3.74341846791e-005, +4.51765015708e+002
+8.33434343434e+006, -3.49408888617e-005, +3.95464078321e+002
+8.43232323232e+006, -3.27068939205e-005, +3.48702993831e+002
+8.53030303030e+006, -3.07216627170e-005, +3.09241014556e+002
+8.62828282828e+006, -2.89215202127e-005, +2.76355993635e+002
+8.72626262626e+006, -2.73129811748e-005, +2.47918721752e+002
+8.82424242424e+006, -2.58443531960e-005, +2.24118217273e+002
+8.92222222222e+006, -2.45004528561e-005, +2.03133340587e+002
+9.02020202020e+006, -2.32787092119e-005, +1.84618641999e+002
+9.11818181818e+006, -2.21601250375e-005, +1.69162318894e+002
+9.21616161616e+006, -2.11225566948e-005, +1.55071721864e+002
+9.31414141414e+006, -2.01736973062e-005, +1.42813809182e+002
+9.41212121212e+006, -1.92914109943e-005, +1.31782358362e+002
+9.51010101010e+006, -1.84792697235e-005, +1.22188236134e+002
+9.60808080808e+006, -1.77198641316e-005, +1.13290894824e+002
+9.70606060606e+006, -1.70126912832e-005, +1.05458403206e+002
+9.80404040404e+006, -1.63574070132e-005, +9.84482967282e+001
+9.90202020202e+006, -1.57371868285e-005, +9.20945440989e+001
+1.00000000000e+007, -1.51630749626e-005, +8.64010611652e+001
END
