!Agilent Technologies,E4990A,MY54100421,A.02.10
!Date: Thu Nov 09 14:44:45 2023

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.50000000000e+005, +2.31466876715e-005, +1.30378157842e+000
+1.55263157895e+005, +2.31358562004e-005, +1.34936570496e+000
+1.60526315789e+005, +2.31255897457e-005, +1.39597304836e+000
+1.65789473684e+005, +2.31149810367e-005, +1.44379998589e+000
+1.71052631579e+005, +2.31045124696e-005, +1.49118601664e+000
+1.76315789474e+005, +2.30941237489e-005, +1.54055185607e+000
+1.81578947368e+005, +2.30842361561e-005, +1.59139851639e+000
+1.86842105263e+005, +2.30734588399e-005, +1.64294893112e+000
+1.92105263158e+005, +2.30635106146e-005, +1.69583163212e+000
+1.97368421053e+005, +2.30537793863e-005, +1.74942408350e+000
+2.02631578947e+005, +2.30440102531e-005, +1.80535035251e+000
+2.07894736842e+005, +2.30337365618e-005, +1.86106414620e+000
+2.13157894737e+005, +2.30244329078e-005, +1.91771718954e+000
+2.18421052632e+005, +2.30157024700e-005, +1.97514289382e+000
+2.23684210526e+005, +2.30059810361e-005, +2.03504123650e+000
+2.28947368421e+005, +2.29956078895e-005, +2.09486586901e+000
+2.34210526316e+005, +2.29864303450e-005, +2.15671698428e+000
+2.39473684211e+005, +2.29763944065e-005, +2.21895987822e+000
+2.44736842105e+005, +2.29681108432e-005, +2.28307121122e+000
+2.50000000000e+005, +2.29591500573e-005, +2.34726115173e+000
+3.00000000000e+005, +2.28697546573e-005, +3.00716567079e+000
+3.97979797980e+005, +2.26940389391e-005, +4.52934374928e+000
+4.95959595960e+005, +2.25143396964e-005, +6.30020825392e+000
+5.93939393939e+005, +2.23329466057e-005, +8.25651552668e+000
+6.91919191919e+005, +2.21548351688e-005, +1.03331579858e+001
+7.89898989899e+005, +2.19879663335e-005, +1.24704071326e+001
+8.87878787879e+005, +2.18362353310e-005, +1.46203019895e+001
+9.85858585859e+005, +2.17045819004e-005, +1.67672874122e+001
+1.08383838384e+006, +2.15957442415e-005, +1.88989613714e+001
+1.18181818182e+006, +2.15099108122e-005, +2.09945099484e+001
+1.27979797980e+006, +2.14475596713e-005, +2.30760327075e+001
+1.37777777778e+006, +2.14086381789e-005, +2.51171081193e+001
+1.47575757576e+006, +2.13945108774e-005, +2.71419331459e+001
+1.57373737374e+006, +2.13997344351e-005, +2.91625464741e+001
+1.67171717172e+006, +2.14302141414e-005, +3.11958678868e+001
+1.76969696970e+006, +2.14803964299e-005, +3.32565303737e+001
+1.86767676768e+006, +2.15512805981e-005, +3.53496057915e+001
+1.96565656566e+006, +2.16464735921e-005, +3.74588027506e+001
+2.06363636364e+006, +2.17613274601e-005, +3.96488621539e+001
+2.16161616162e+006, +2.18948639424e-005, +4.18943006884e+001
+2.25959595960e+006, +2.20519312161e-005, +4.42510557861e+001
+2.35757575758e+006, +2.22263493920e-005, +4.66344803079e+001
+2.45555555556e+006, +2.24233052139e-005, +4.92070228008e+001
+2.55353535354e+006, +2.26416895815e-005, +5.18701605311e+001
+2.65151515152e+006, +2.28848556240e-005, +5.46429196478e+001
+2.74949494949e+006, +2.31466474327e-005, +5.76511583813e+001
+2.84747474747e+006, +2.34383608029e-005, +6.08136867335e+001
+2.94545454545e+006, +2.37540320988e-005, +6.42177663416e+001
+3.04343434343e+006, +2.40938793557e-005, +6.78522823740e+001
+3.14141414141e+006, +2.44634339693e-005, +7.17544303077e+001
+3.23939393939e+006, +2.48692500616e-005, +7.60427529521e+001
+3.33737373737e+006, +2.52957467490e-005, +8.05836793848e+001
+3.43535353535e+006, +2.57635473875e-005, +8.56175318547e+001
+3.53333333333e+006, +2.62729088922e-005, +9.09666325177e+001
+3.63131313131e+006, +2.68100778913e-005, +9.68596635061e+001
+3.72929292929e+006, +2.73958935357e-005, +1.03433900996e+002
+3.82727272727e+006, +2.80281307967e-005, +1.10644386406e+002
+3.92525252525e+006, +2.87155493387e-005, +1.18673583205e+002
+4.02323232323e+006, +2.94511673468e-005, +1.27348354489e+002
+4.12121212121e+006, +3.02608039991e-005, +1.37158600649e+002
+4.21919191919e+006, +3.11344457547e-005, +1.48137466536e+002
+4.31717171717e+006, +3.20800568488e-005, +1.60512370839e+002
+4.41515151515e+006, +3.31044679482e-005, +1.74786402159e+002
+4.51313131313e+006, +3.42479345233e-005, +1.90521045253e+002
+4.61111111111e+006, +3.54892854006e-005, +2.08757578021e+002
+4.70909090909e+006, +3.68618918657e-005, +2.29930022590e+002
+4.80707070707e+006, +3.83546829779e-005, +2.53964893693e+002
+4.90505050505e+006, +4.00296618772e-005, +2.82655727973e+002
+5.00303030303e+006, +4.18808313401e-005, +3.15488830933e+002
+5.10101010101e+006, +4.39382498002e-005, +3.55180026545e+002
+5.19898989899e+006, +4.62698607303e-005, +4.03236087940e+002
+5.29696969697e+006, +4.88062006494e-005, +4.57535246624e+002
+5.39494949495e+006, +5.17302016328e-005, +5.27784254946e+002
+5.49292929293e+006, +5.50567264892e-005, +6.15401686475e+002
+5.59090909091e+006, +5.88692356139e-005, +7.26263388394e+002
+5.68888888889e+006, +6.32624301777e-005, +8.68097602026e+002
+5.78686868687e+006, +6.81823328107e-005, +1.05464710548e+003
+5.88484848485e+006, +7.38642384534e-005, +1.30466352219e+003
+5.98282828283e+006, +8.00807494875e-005, +1.64754351815e+003
+6.08080808081e+006, +8.67066058009e-005, +2.12615918741e+003
+6.17878787879e+006, +9.27555353333e-005, +2.80957606429e+003
+6.27676767677e+006, +9.58928026173e-005, +3.79009373903e+003
+6.37474747475e+006, +9.04435176059e-005, +5.12415207321e+003
+6.47272727273e+006, +6.76635312572e-005, +6.68144312377e+003
+6.57070707071e+006, +2.10769309207e-005, +7.85737350463e+003
+6.66868686869e+006, -3.63209744876e-005, +7.77961236209e+003
+6.76666666667e+006, -7.82733949773e-005, +6.51626210635e+003
+6.86464646465e+006, -9.49148661386e-005, +4.94692862463e+003
+6.96262626263e+006, -9.59538870766e-005, +3.64175699109e+003
+7.06060606061e+006, -8.98461117298e-005, +2.69191256795e+003
+7.15858585859e+006, -8.19545626063e-005, +2.02910847342e+003
+7.25656565657e+006, -7.40784097916e-005, +1.56699640751e+003
+7.35454545455e+006, -6.69478454931e-005, +1.23670415118e+003
+7.45252525253e+006, -6.06943129001e-005, +9.94674282856e+002
+7.55050505051e+006, -5.52709015770e-005, +8.15675949185e+002
+7.64848484848e+006, -5.05513638634e-005, +6.78739260730e+002
+7.74646464646e+006, -4.64683364549e-005, +5.74060744521e+002
+7.84444444444e+006, -4.29107446046e-005, +4.91383870255e+002
+7.94242424242e+006, -3.97973615583e-005, +4.22959137438e+002
+8.04040404040e+006, -3.70425611882e-005, +3.69126263303e+002
+8.13838383838e+006, -3.46133830993e-005, +3.24808522237e+002
+8.23636363636e+006, -3.24490201646e-005, +2.87693313956e+002
+8.33434343434e+006, -3.04939323948e-005, +2.56001495374e+002
+8.43232323232e+006, -2.87577991350e-005, +2.29496152477e+002
+8.53030303030e+006, -2.71706437151e-005, +2.06601360390e+002
+8.62828282828e+006, -2.57347390842e-005, +1.87134810913e+002
+8.72626262626e+006, -2.44303606098e-005, +1.70068667261e+002
+8.82424242424e+006, -2.32400299116e-005, +1.55447728686e+002
+8.92222222222e+006, -2.21338636838e-005, +1.42864185846e+002
+9.02020202020e+006, -2.11299677373e-005, +1.31041238975e+002
+9.11818181818e+006, -2.01922942011e-005, +1.21106559106e+002
+9.21616161616e+006, -1.93236037607e-005, +1.12012517239e+002
+9.31414141414e+006, -1.85137208773e-005, +1.03910508208e+002
+9.41212121212e+006, -1.77652694851e-005, +9.68062035921e+001
+9.51010101010e+006, -1.70664998685e-005, +9.00850316419e+001
+9.60808080808e+006, -1.64114298199e-005, +8.43374183507e+001
+9.70606060606e+006, -1.58025519921e-005, +7.90866376982e+001
+9.80404040404e+006, -1.52276652933e-005, +7.41926508677e+001
+9.90202020202e+006, -1.46892973999e-005, +6.97652727217e+001
+1.00000000000e+007, -1.41801124128e-005, +6.58558894794e+001
END
