dx1,F1,dx2,F2
0.000113,-0.06676,5.00E-05,-0.06676
0.000538,-0.09219,0.00015,-0.07629
0.001475,-0.09855,0.000613,-0.12716
0.002338,-0.08265,0.002025,-0.15895
0.003138,-0.04768,0.00335,-0.13669
0.003975,-0.02225,0.0041,-0.09219
0.004813,-0.00636,0.004863,-0.04133
0.005663,0.019073,0.00575,0.012716
0.006525,0.047684,0.006588,0.079473
0.007375,0.08901,0.007413,0.114441
0.008213,0.133514,0.008225,0.114441
0.009063,0.190735,0.00905,0.104904
0.009913,0.23524,0.009875,0.108083
0.01075,0.244776,0.0107,0.130336
0.011588,0.241598,0.011538,0.14623
0.012413,0.257492,0.01235,0.155767
0.013238,0.295639,0.01315,0.155767
0.014063,0.330607,0.01395,0.149409
0.014875,0.35286,0.014763,0.14623
0.015713,0.362396,0.015588,0.14623
0.01655,0.365575,0.016413,0.14623
0.017388,0.371933,0.017238,0.149409
0.018238,0.397364,0.0181,0.171661
0.019075,0.448227,0.01895,0.225703
0.019913,0.514984,0.0198,0.279745
0.020738,0.594457,0.020638,0.305176
0.02155,0.670751,0.021488,0.305176
0.022388,0.712077,0.022338,0.327428
0.023213,0.712077,0.023163,0.371933
0.02405,0.689824,0.024,0.429153
0.024888,0.686646,0.024838,0.492732
0.025725,0.712077,0.025663,0.569026
0.026563,0.750224,0.0265,0.610352
0.027388,0.79155,0.027338,0.626246
0.028225,0.826518,0.028175,0.626246
0.029038,0.851949,0.029025,0.626246
0.029875,0.858307,0.029875,0.638962
0.0307,0.851949,0.030713,0.670751
0.031525,0.832876,0.03155,0.696182
0.032363,0.816981,0.032375,0.721614
0.0332,0.842412,0.033213,0.756582
0.03405,0.90917,0.034038,0.810623
0.0349,0.972748,0.034875,0.87738
0.035738,1.014074,0.035713,0.931422
0.036575,1.004537,0.036538,0.979106
0.0374,0.982285,0.037375,1.02361
0.038225,0.982285,0.038213,1.0554
0.039063,1.02361,0.03905,1.068115
0.0399,1.090368,0.039888,1.080831
0.040725,1.134872,0.040713,1.118978
0.041575,1.150767,0.041538,1.185735
0.0424,1.153946,0.042375,1.252492
0.043238,1.153946,0.043188,1.281103
0.044075,1.14123,0.044025,1.281103
0.0449,1.128515,0.044863,1.281103
0.045738,1.160304,0.0457,1.296997
0.046563,1.227061,0.046563,1.312892
0.047375,1.271566,0.0474,1.322428
0.0482,1.28746,0.048238,1.322428
0.049038,1.300176,0.049063,1.322428
0.049875,1.322428,0.049888,1.325607
0.050713,1.34786,0.050713,1.338323
0.051563,1.382828,0.05155,1.366933
0.0524,1.43369,0.052388,1.411438
